branch,lineage,artifact_count,run_count,syntax_ok_true,syntax_ok_false,syntax_ok_unknown,realizable_true,realizable_false,realizable_unknown,well_separated_true,well_separated_false,well_separated_unknown,distance_count,distance_mean,distance_median,distance_min,distance_max,bounded_semantic_distance_count,bounded_semantic_distance_mean,bounded_semantic_distance_median,bounded_semantic_distance_min,bounded_semantic_distance_max
core,core,4,1,0,4,0,0,4,0,0,0,4,4,0.0,0.0,0.0,0.0,0,,,,
cross_repair,cross_challenger,3,1,0,3,0,0,3,0,0,0,3,3,0.0,0.0,0.0,0.0,0,,,,
cross_repair,cross_incumbent,3,1,0,3,0,0,3,0,0,0,3,3,0.0,0.0,0.0,0.0,0,,,,
independent_test,independent_test,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
no_test,no_test,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
self_test,self_test,3,1,0,3,0,0,3,0,0,0,3,3,0.0,0.0,0.0,0.0,0,,,,
